"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2021","1,717.18","1,720.88","1,721.21","1,715.17","","-0.19%"
"02/03/2021","1,720.45","1,721.00","1,721.89","1,718.71","","0.06%"
"02/02/2021","1,719.50","1,716.22","1,720.89","1,715.38","","0.20%"
"02/01/2021","1,716.00","1,718.98","1,719.91","1,714.50","","-0.07%"
"01/29/2021","1,717.21","1,717.91","1,721.79","1,713.52","","0.21%"
"01/28/2021","1,713.62","1,715.59","1,719.31","1,710.41","","-0.28%"
"01/27/2021","1,718.37","1,721.95","1,722.09","1,713.79","","-0.06%"
"01/26/2021","1,719.35","1,717.55","1,721.73","1,714.10","","0.13%"
"01/25/2021","1,717.14","1,716.71","1,719.38","1,715.57","","-0.05%"
"01/22/2021","1,717.92","1,724.92","1,724.96","1,716.09","","-0.39%"
"01/21/2021","1,724.66","1,726.34","1,727.49","1,722.20","","0.01%"
"01/20/2021","1,724.42","1,721.24","1,725.47","1,720.56","","0.25%"
"01/19/2021","1,720.17","1,718.69","1,722.54","1,717.90","","0.06%"
"01/18/2021","1,719.06","1,719.65","1,720.05","1,715.05","","-0.15%"
"01/15/2021","1,721.67","1,724.92","1,725.76","1,718.51","","-0.16%"
"01/14/2021","1,724.46","1,721.25","1,725.36","1,719.76","","0.07%"
"01/13/2021","1,723.28","1,722.83","1,724.49","1,720.06","","0.29%"
"01/12/2021","1,718.34","1,714.07","1,722.70","1,713.32","","0.19%"
"01/11/2021","1,715.06","1,719.16","1,719.30","1,711.74","","-0.37%"
"01/08/2021","1,721.38","1,717.53","1,723.38","1,716.15","","-0.07%"
"01/07/2021","1,722.54","1,725.89","1,727.60","1,716.92","","-0.21%"
"01/06/2021","1,726.14","1,727.05","1,729.73","1,724.25","","0.03%"
"01/05/2021","1,725.55","1,725.98","1,732.15","1,722.84","","-0.22%"
"01/04/2021","1,729.39","1,721.56","1,731.69","1,720.99","","0.56%"
"01/01/2021","1,719.84","1,721.04","1,721.39","1,719.84","","0.01%"
"12/31/2020","1,719.74","1,720.15","1,722.25","1,717.75","","-0.02%"
"12/30/2020","1,720.12","1,717.10","1,721.19","1,716.69","","0.13%"
"12/29/2020","1,717.81","1,714.52","1,718.22","1,714.14","","0.23%"
